Locale,Slug,IndexedInGoogle,Title_En,Title_Current
"ar","elizabeth-wu-zetian-iron-queens","NO","Elizabeth I & Wu Zetian: Iron Empresses Who Ruled Male-Dominated Empires","MISSING"
"ar","lincoln-leadership-depression","NO","Lincoln's Secret War: How He Saved a Divided Nation While Battling Depression","MISSING"
"hi","lincoln-leadership-depression","NO","Lincoln's Secret War: How He Saved a Divided Nation While Battling Depression","MISSING"
"ru","lincoln-leadership-depression","YES","Lincoln's Secret War: How He Saved a Divided Nation While Battling Depression","MISSING"
"th","lincoln-leadership-depression","NO","Lincoln's Secret War: How He Saved a Divided Nation While Battling Depression","MISSING"
"ar","feynman-technique-learning","NO","Master Complex Knowledge at Lightning Speed: The Feynman Technique Inspired by Einstein","MISSING"
"hi","feynman-technique-learning","NO","Master Complex Knowledge at Lightning Speed: The Feynman Technique Inspired by Einstein","MISSING"
"ru","feynman-technique-learning","YES","Master Complex Knowledge at Lightning Speed: The Feynman Technique Inspired by Einstein","MISSING"
"th","feynman-technique-learning","NO","Master Complex Knowledge at Lightning Speed: The Feynman Technique Inspired by Einstein","MISSING"
"ar","poe-obsession-psychology","NO","Edgar Allan Poe: Navigating the Dark Psychology of Human Obsession","MISSING"
"hi","poe-obsession-psychology","NO","Edgar Allan Poe: Navigating the Dark Psychology of Human Obsession","MISSING"
"ru","poe-obsession-psychology","YES","Edgar Allan Poe: Navigating the Dark Psychology of Human Obsession","MISSING"
"th","poe-obsession-psychology","NO","Edgar Allan Poe: Navigating the Dark Psychology of Human Obsession","MISSING"
"ar","tesla-edison-current-war","NO","Tesla vs. Edison: The War of Currents and the Clash of Innovation","MISSING"
"hi","tesla-edison-current-war","NO","Tesla vs. Edison: The War of Currents and the Clash of Innovation","MISSING"
"ru","tesla-edison-current-war","YES","Tesla vs. Edison: The War of Currents and the Clash of Innovation","MISSING"
"th","tesla-edison-current-war","NO","Tesla vs. Edison: The War of Currents and the Clash of Innovation","MISSING"
"ar","ford-automation-paradox","NO","Henry Ford and the Paradox of Automation: A Message for the AI Era","MISSING"
"hi","ford-automation-paradox","NO","Henry Ford and the Paradox of Automation: A Message for the AI Era","MISSING"
"ru","ford-automation-paradox","YES","Henry Ford and the Paradox of Automation: A Message for the AI Era","MISSING"
"th","ford-automation-paradox","NO","Henry Ford and the Paradox of Automation: A Message for the AI Era","MISSING"
"th","washington-sejong-nation-builders","NO","George Washington & King Sejong: Leadership Blueprints from Great Nation Builders","MISSING"
"ar","keller-gandhi-invisible-power","NO","Helen Keller and Gandhi: The Invisible Giants Who Moved Millions","MISSING"
"hi","keller-gandhi-invisible-power","NO","Helen Keller and Gandhi: The Invisible Giants Who Moved Millions","MISSING"
"ru","keller-gandhi-invisible-power","YES","Helen Keller and Gandhi: The Invisible Giants Who Moved Millions","MISSING"
"th","keller-gandhi-invisible-power","NO","Helen Keller and Gandhi: The Invisible Giants Who Moved Millions","MISSING"
"ar","da-vinci-time-management","NO","Leonardo da Vinci's Dark Art of Time Management: 5 Secrets to Maximizing Your Hours","MISSING"
"hi","da-vinci-time-management","NO","Leonardo da Vinci's Dark Art of Time Management: 5 Secrets to Maximizing Your Hours","MISSING"
"ru","da-vinci-time-management","YES","Leonardo da Vinci's Dark Art of Time Management: 5 Secrets to Maximizing Your Hours","MISSING"
"th","da-vinci-time-management","NO","Leonardo da Vinci's Dark Art of Time Management: 5 Secrets to Maximizing Your Hours","MISSING"
"ar","franklin-tactical-networking","NO","Benjamin Franklin's Social Mastery: The Art of Tactical Networking","MISSING"
"hi","franklin-tactical-networking","NO","Benjamin Franklin's Social Mastery: The Art of Tactical Networking","MISSING"
"ru","franklin-tactical-networking","YES","Benjamin Franklin's Social Mastery: The Art of Tactical Networking","MISSING"
"th","franklin-tactical-networking","NO","Benjamin Franklin's Social Mastery: The Art of Tactical Networking","MISSING"
"ar","mark-twain-humor-wit","NO","Mark Twain's Humor and Wit: Weaponizing Satire and Irony in a Cruel World","MISSING"
"hi","mark-twain-humor-wit","NO","Mark Twain's Humor and Wit: Weaponizing Satire and Irony in a Cruel World","MISSING"
"ru","mark-twain-humor-wit","YES","Mark Twain's Humor and Wit: Weaponizing Satire and Irony in a Cruel World","MISSING"
"th","mark-twain-humor-wit","NO","Mark Twain's Humor and Wit: Weaponizing Satire and Irony in a Cruel World","MISSING"
"pl","fear-giants","YES","Historical Giants Who Conquered Fear","MISSING"
"uk","fear-giants","YES","Historical Giants Who Conquered Fear","MISSING"
"pl","failure-comeback","YES","The Unyielding Spirit: Historical Giants Who Conquered Repeated Failures","MISSING"
"uk","failure-comeback","YES","The Unyielding Spirit: Historical Giants Who Conquered Repeated Failures","MISSING"
"pl","loneliness-creation","YES","The Productive Solitude of Outsiders Who Changed the World","MISSING"
"uk","loneliness-creation","YES","The Productive Solitude of Outsiders Who Changed the World","MISSING"
"pl","decision-making","YES","The Weight of Choice: Crucial Decisions That Rewrote the World","MISSING"
"uk","decision-making","YES","The Weight of Choice: Crucial Decisions That Rewrote the World","MISSING"
"pl","burnout-recovery","YES","Finding Meaning in the Void: Overcoming Historical Burnout","MISSING"
"uk","burnout-recovery","YES","Finding Meaning in the Void: Overcoming Historical Burnout","MISSING"
"pl","betrayal-relationship","YES","The Crucible of Trust: How Great Leaders Navigated Betrayal and Heartbreak","MISSING"
"uk","betrayal-relationship","YES","The Crucible of Trust: How Great Leaders Navigated Betrayal and Heartbreak","MISSING"
"fa","overwhelm-focus","NO","The Unwavering Gaze: Masters of Focus in the Crucible of Pressure","The Unwavering Gaze: Masters of Focus in the Crucible of Pressure"
"pl","overwhelm-focus","YES","The Unwavering Gaze: Masters of Focus in the Crucible of Pressure","MISSING"
"uk","overwhelm-focus","YES","The Unwavering Gaze: Masters of Focus in the Crucible of Pressure","MISSING"
"fa","late-bloomer","NO","The Unfolding Wisdom: Late Bloomers Who Reconfigured History After Forty","The Unfolding Wisdom: Late Bloomers Who Reconfigured History After Forty"
"pl","late-bloomer","YES","The Unfolding Wisdom: Late Bloomers Who Reconfigured History After Forty","MISSING"
"uk","late-bloomer","YES","The Unfolding Wisdom: Late Bloomers Who Reconfigured History After Forty","MISSING"
"pl","poverty-greatness","YES","From Dust to Divinity: Figures Who Forged Legacies from the Crucible of Hardship","MISSING"
"uk","poverty-greatness","YES","From Dust to Divinity: Figures Who Forged Legacies from the Crucible of Hardship","MISSING"
